#Device,LCX200
#Device Name,RS-LCX200-02169.local
#Format,LOG
#Date,2025-02-24
#Version,02.036 001FCD160E
#Serial No.,102169
#Logging Interval[s],0.0
#Mode,Unlimited
#Start Time,15:23:08
#Stop Time,15:25:54
#Actual Count,0000000200
Timestamp,Ls[H],Rs[Ohm],Z[Ohm],Θd[°],IBias[A],Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz]
15:23:12.096,1.50315E-06,6.46213E-03,6.46224E-03,3.34953E-01,0.00000E+00,FALSE,FALSE,1.00000E-01,4.00000E+00
15:23:13.451,1.94950E-06,8.07107E-03,8.07230E-03,1.00141E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.15176E+01
15:23:14.351,5.00300E-06,8.68198E-03,8.70257E-03,3.94262E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.90352E+01
15:23:15.207,5.01316E-06,7.74082E-03,7.78587E-03,6.16674E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,2.65528E+01
15:23:16.071,5.10841E-06,7.81775E-03,7.89386E-03,7.96295E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,3.40704E+01
15:23:16.912,4.60203E-06,7.92031E-03,8.01108E-03,8.63322E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,4.15879E+01
15:23:17.760,2.97704E-06,7.92744E-03,7.98048E-03,6.60926E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,4.91055E+01
15:23:18.594,5.02741E-06,7.84871E-03,8.04993E-03,1.28377E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,5.66231E+01
15:23:19.433,5.20388E-06,7.82379E-03,8.10000E-03,1.50056E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,6.41407E+01
15:23:20.263,7.27588E-06,8.83948E-03,9.42698E-03,2.03347E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,7.16583E+01
15:23:21.100,5.09596E-06,1.00871E-02,1.04008E-02,1.41075E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,7.91759E+01
15:23:21.937,5.74968E-06,1.08635E-02,1.13059E-02,1.60821E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,8.66935E+01
15:23:22.671,-inf,1.34116E-02,1.34117E-02,-1.19847E-01,0.00000E+00,FALSE,FALSE,1.00000E-01,9.42111E+01
15:23:23.497,-inf,1.05340E-02,1.07176E-02,-1.06192E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,1.01729E+02
15:23:24.325,-inf,9.14568E-03,9.19554E-03,-5.96902E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.09246E+02
15:23:25.156,-inf,8.33353E-03,8.33755E-03,-1.77919E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.16764E+02
15:23:25.991,1.36395E-08,7.88813E-03,7.88813E-03,7.73630E-02,0.00000E+00,FALSE,FALSE,1.00000E-01,1.24281E+02
15:23:26.815,9.70409E-07,7.94237E-03,7.98292E-03,5.77755E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.31799E+02
15:23:27.639,1.40966E-06,8.00768E-03,8.10220E-03,8.76012E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.39317E+02
15:23:28.471,1.05234E-06,7.53660E-03,7.59888E-03,7.34047E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.46834E+02
15:23:29.306,1.27286E-06,7.86557E-03,7.96185E-03,8.91944E+00,0.00000E+00,FALSE,FALSE,1.00000E-01,1.54352E+02
15:23:30.134,1.64441E-06,7.77594E-03,7.95376E-03,1.21383E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,1.61869E+02
15:23:30.969,1.69375E-06,8.08633E-03,8.28482E-03,1.25672E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,1.69387E+02
15:23:31.794,1.40343E-06,7.77822E-03,7.93311E-03,1.13404E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,1.76905E+02
15:23:32.620,1.80764E-06,8.02755E-03,8.29632E-03,1.46240E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,1.84422E+02
15:23:33.442,2.32272E-06,8.12236E-03,8.59182E-03,1.90279E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,1.91940E+02
15:23:34.271,2.00316E-06,7.87279E-03,8.26335E-03,1.76860E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,1.99457E+02
15:23:35.094,1.83587E-06,8.17744E-03,8.51884E-03,1.62756E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.06975E+02
15:23:35.923,1.86211E-06,8.49513E-03,8.85805E-03,1.64578E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.14492E+02
15:23:36.753,1.42413E-06,8.22386E-03,8.46039E-03,1.35803E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.22010E+02
15:23:37.582,2.18048E-06,8.10366E-03,8.69241E-03,2.12087E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.29528E+02
15:23:38.408,1.79068E-06,8.23197E-03,8.65324E-03,1.79515E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.37045E+02
15:23:39.242,1.99888E-06,7.66370E-03,8.25632E-03,2.18405E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.44563E+02
15:23:40.071,1.96846E-06,7.61071E-03,8.22457E-03,2.22768E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.52080E+02
15:23:40.894,2.02016E-06,7.91024E-03,8.56910E-03,2.26146E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.59598E+02
15:23:41.717,2.06383E-06,7.93080E-03,8.65421E-03,2.35934E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.67116E+02
15:23:42.543,1.99260E-06,7.86511E-03,8.58384E-03,2.36133E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.74633E+02
15:23:43.371,2.12593E-06,8.10638E-03,8.93967E-03,2.49349E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.82151E+02
15:23:44.196,1.90726E-06,7.89802E-03,8.62720E-03,2.37261E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.89668E+02
15:23:45.020,2.04839E-06,8.04579E-03,8.90868E-03,2.54260E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,2.97186E+02
15:23:45.750,2.30658E-06,7.95848E-03,9.10155E-03,2.90248E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.04704E+02
15:23:46.585,2.31757E-06,7.78733E-03,9.01736E-03,3.02776E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.12221E+02
15:23:47.413,2.09657E-06,8.43639E-03,9.42939E-03,2.65312E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.19739E+02
15:23:48.240,2.13824E-06,7.78675E-03,8.94226E-03,2.94506E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.27256E+02
15:23:49.065,2.08549E-06,7.34043E-03,8.55133E-03,3.08630E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.34774E+02
15:23:49.893,2.04175E-06,8.03799E-03,9.15923E-03,2.86477E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.42291E+02
15:23:50.714,2.21332E-06,7.76683E-03,9.16454E-03,3.20606E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.49809E+02
15:23:51.537,2.15364E-06,8.23328E-03,9.54812E-03,3.04249E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.57327E+02
15:23:52.364,2.07945E-06,7.86028E-03,9.19279E-03,3.12349E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.64844E+02
15:23:53.191,2.10577E-06,7.84966E-03,9.26766E-03,3.21137E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.72362E+02
15:23:54.014,2.10803E-06,7.62470E-03,9.13523E-03,3.34209E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.79879E+02
15:23:54.838,2.11560E-06,7.81117E-03,9.35587E-03,3.33951E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.87397E+02
15:23:55.663,2.23776E-06,8.34416E-03,1.00228E-02,3.36417E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,3.94915E+02
15:23:56.485,2.22850E-06,7.70745E-03,9.54760E-03,3.61704E+01,0.00000E+00,FALSE,FALSE,1.00000E-01,4.02432E+02
