#Device,LCX200,,,,,,,,,
#Device Name,RS-LCX200-02169.local,,,,,,,,,
#Format,LOG,,,,,,,,,
#Date,2025-03-11,,,,,,,,,
#Version,02.036 001FCD160E,,,,,,,,,
#Serial No.,102169,,,,,,,,,
#Logging Interval[s],0,,,,,,,,,
#Mode,Unlimited,,,,,,,,,
#Start Time,14:44:56,,,,,,,,,
#Stop Time,14:46:03,,,,,,,,,
#Actual Count,200,,,,,,,,,
Timestamp,Ls[H],Q,Z[Ohm],Θd[°],IBias[A],Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz],R[Ohm]
14:44:59.512,-inf,0.0422981,0.0138155,-2.42206,0,FALSE,FALSE,2,4,0.0138031576895293
14:45:00.239,-inf,-inf,0.0132235,-0.232878,0,FALSE,FALSE,2,14.0302,0.0132233907736336
14:45:00.726,0.00000104437,0.0119566,0.0132056,0.685028,0,FALSE,FALSE,2,24.0603,0.0132046561687534
14:45:01.134,0.00000125114,0.0203997,0.0131397,1.16865,0,FALSE,FALSE,2,34.0905,0.013136966846273
14:45:01.496,0.00000127813,0.0270174,0.0131194,1.5476,0,FALSE,FALSE,2,44.1206,0.0131146144732225
14:45:01.834,0.00000224149,0.0581818,0.0131301,3.32982,0,FALSE,FALSE,2,54.1508,0.0131079327382856
14:45:02.168,0.00000231752,0.0716841,0.0130707,4.10018,0,FALSE,FALSE,2,64.1809,0.0130372463055048
14:45:02.497,0.00000210523,0.0751557,0.0130981,4.29802,0,FALSE,FALSE,2,74.2111,0.0130612645278354
14:45:02.824,0.00000210523,0.0751557,0.0130981,4.29802,0,FALSE,FALSE,2,84.2412,0.0130612645278354
14:45:03.158,0.00000175408,0.0791193,0.0131729,4.52378,0,FALSE,FALSE,2,94.2714,0.0131318622573267
14:45:03.493,0.0000020433,0.101804,0.0132214,5.81292,0,FALSE,FALSE,2,104.302,0.0131534141820691
14:45:03.826,0.0000020433,0.101804,0.0132214,5.81292,0,FALSE,FALSE,2,114.332,0.0131534141820691
14:45:04.157,0.00000274368,0.163409,0.0132938,9.28059,0,FALSE,FALSE,2,124.362,0.0131197895559097
14:45:04.488,0.00000225644,0.145763,0.0132097,8.2932,0,FALSE,FALSE,2,134.392,0.0130715650395037
14:45:04.815,0.00000215083,0.148517,0.0132856,8.44767,0,FALSE,FALSE,2,144.422,0.0131414572148704
14:45:05.143,0.00000215083,0.148517,0.0132856,8.44767,0,FALSE,FALSE,2,154.452,0.0131414572148704
