#Device,LCX200,,,,,,,,
#Device Name,RS-LCX200-02169.local,,,,,,,,
#Format,LOG,,,,,,,,
#Date,2025-03-11,,,,,,,,
#Version,02.036 001FCD160E,,,,,,,,
#Serial No.,102169,,,,,,,,
#Logging Interval[s],0,,,,,,,,
#Mode,Unlimited,,,,,,,,
#Start Time,15:18:50,,,,,,,,
#Stop Time,15:20:16,,,,,,,,
#Actual Count,200,,,,,,,,
Timestamp,Ls[H],R[Ohm],Z[Ohm],Θd[°],IBias[A],Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz]
15:19:10.484,-inf,0.0130966,0.013111,-2.68424,0,FALSE,FALSE,1,4
15:19:11.242,-inf,0.0127403,0.0127403,-0.0758836,0,FALSE,FALSE,1,14.0302
15:19:11.730,0.00000144806,0.0127562,0.0127581,0.983159,0,FALSE,FALSE,1,24.0603
15:19:12.136,0.00000186906,0.0127387,0.012745,1.80007,0,FALSE,FALSE,1,34.0905
15:19:12.600,0.00000209736,0.0127422,0.0127554,2.61259,0,FALSE,FALSE,1,44.1206
15:19:12.938,0.00000243206,0.0127532,0.01278,3.71241,0,FALSE,FALSE,1,54.1508
15:19:13.271,0.00000295208,0.0127506,0.0128061,5.33395,0,FALSE,FALSE,1,64.1809
15:19:13.701,0.00000255775,0.0127481,0.0128037,5.34468,0,FALSE,FALSE,1,74.2111
15:19:14.027,0.0000021809,0.0127616,0.0128137,5.16867,0,FALSE,FALSE,1,84.2412
15:19:14.353,0.00000239083,0.0127773,0.0128555,6.32448,0,FALSE,FALSE,1,94.2714
15:19:14.790,0.00000261125,0.0127836,0.0128976,7.62455,0,FALSE,FALSE,1,104.302
15:19:15.127,0.00000277303,0.0128013,0.0129554,8.84506,0,FALSE,FALSE,1,114.332
15:19:15.457,0.0000033425,0.0127706,0.0130349,11.5586,0,FALSE,FALSE,1,124.362
15:19:15.784,0.00000300156,0.0128076,0.0130559,11.1939,0,FALSE,FALSE,1,134.392
15:19:16.112,0.0000030455,0.0128341,0.0131283,12.152,0,FALSE,FALSE,1,144.422
15:19:16.443,0.0000031029,0.0128912,0.0132383,13.1478,0,FALSE,FALSE,1,154.452
15:19:16.775,0.00000382469,0.0131082,0.0136912,16.7805,0,FALSE,FALSE,1,164.482
15:19:17.107,0.00000535974,0.0157125,0.0167756,20.5073,0,FALSE,FALSE,1,174.513
15:19:17.432,0.000000312248,0.0134857,0.0134905,1.53788,0,FALSE,FALSE,1,184.543
15:19:17.755,0.00000162315,0.0128157,0.0129684,8.80169,0,FALSE,FALSE,1,194.573
15:19:18.082,0.00000200578,0.0128049,0.013062,11.3855,0,FALSE,FALSE,1,204.603
15:19:18.406,0.00000218453,0.0128115,0.0131459,12.9501,0,FALSE,FALSE,1,214.633
15:19:18.730,0.00000224776,0.0128485,0.0132345,13.8716,0,FALSE,FALSE,1,224.663
15:19:19.061,0.00000235702,0.0128067,0.01327,15.1842,0,FALSE,FALSE,1,234.693
15:19:19.386,0.00000276189,0.0128307,0.0135152,18.3139,0,FALSE,FALSE,1,244.724
15:19:19.705,0.0000023773,0.0128567,0.013408,16.4875,0,FALSE,FALSE,1,254.754
15:19:20.030,0.00000240955,0.0128574,0.0134678,17.3167,0,FALSE,FALSE,1,264.784
15:19:20.360,0.00000240907,0.0128524,0.0135088,17.9345,0,FALSE,FALSE,1,274.814
15:19:20.682,0.00000242234,0.0128769,0.0135871,18.6072,0,FALSE,FALSE,1,284.844
15:19:21.008,0.00000242398,0.0128889,0.013649,19.2104,0,FALSE,FALSE,1,294.874
15:19:21.331,0.00000247003,0.0129192,0.0137586,20.1166,0,FALSE,FALSE,1,304.905
15:19:21.653,0.00000245731,0.0129547,0.0138372,20.5735,0,FALSE,FALSE,1,314.935
15:19:21.976,0.00000234674,0.0129209,0.0137807,20.3469,0,FALSE,FALSE,1,324.965
15:19:22.299,0.00000241584,0.012908,0.0138735,21.5013,0,FALSE,FALSE,1,334.995
15:19:22.621,0.00000239096,0.0129104,0.013912,21.8745,0,FALSE,FALSE,1,345.025
15:19:23.046,0.00000245671,0.0129829,0.0140923,22.8866,0,FALSE,FALSE,1,355.055
15:19:23.469,0.00000247525,0.0129587,0.0141481,23.661,0,FALSE,FALSE,1,365.085
15:19:23.792,0.00000244572,0.0129996,0.0142203,23.9138,0,FALSE,FALSE,1,375.116
15:19:24.118,0.00000244245,0.012999,0.0142797,24.451,0,FALSE,FALSE,1,385.146
15:19:24.440,0.0000024038,0.0129779,0.0142846,24.6977,0,FALSE,FALSE,1,395.176
15:19:24.768,0.0000024672,0.0130484,0.0144816,25.7061,0,FALSE,FALSE,1,405.206
15:19:25.095,0.00000243969,0.0130161,0.0144891,26.0597,0,FALSE,FALSE,1,415.236
15:19:25.420,0.00000245833,0.0130401,0.0146011,26.7359,0,FALSE,FALSE,1,425.266
15:19:25.744,0.00000247541,0.0130568,0.0147077,27.4083,0,FALSE,FALSE,1,435.296
15:19:26.167,0.00000241135,0.0130797,0.0147174,27.2868,0,FALSE,FALSE,1,445.327
15:19:26.496,0.0000024606,0.0130551,0.0148323,28.3358,0,FALSE,FALSE,1,455.357
15:19:26.821,0.00000244007,0.0131034,0.01492,28.5691,0,FALSE,FALSE,1,465.387
15:19:27.142,0.00000245232,0.0130778,0.0149897,29.255,0,FALSE,FALSE,1,475.417
15:19:27.462,0.00000244028,0.013083,0.0150521,29.6366,0,FALSE,FALSE,1,485.447
15:19:27.784,0.00000244588,0.0131321,0.01518,30.1067,0,FALSE,FALSE,1,495.477
15:19:28.107,0.00000244434,0.0131291,0.0152528,30.5973,0,FALSE,FALSE,1,505.508
15:19:28.432,0.00000244249,0.0131429,0.0153405,31.0472,0,FALSE,FALSE,1,515.538
15:19:28.753,0.00000244829,0.0131186,0.0154098,31.6451,0,FALSE,FALSE,1,525.568
15:19:29.079,0.00000245707,0.0131108,0.0155005,32.2387,0,FALSE,FALSE,1,535.598
15:19:29.403,0.00000244637,0.0131513,0.015598,32.5264,0,FALSE,FALSE,1,545.628
15:19:29.724,0.00000244671,0.0131519,0.0156825,33.0038,0,FALSE,FALSE,1,555.658
15:19:30.045,0.00000243348,0.0131508,0.0157402,33.3332,0,FALSE,FALSE,1,565.688
15:19:30.367,0.00000243649,0.0131652,0.015843,33.8009,0,FALSE,FALSE,1,575.719
15:19:30.691,0.00000242887,0.0131781,0.0159239,34.1503,0,FALSE,FALSE,1,585.749
15:19:31.015,0.00000242441,0.0132079,0.0160254,34.494,0,FALSE,FALSE,1,595.779
15:19:31.335,0.0000024439,0.0132187,0.0161638,35.1355,0,FALSE,FALSE,1,605.809
15:19:31.656,0.00000242049,0.0131342,0.0161316,35.4923,0,FALSE,FALSE,1,615.839
15:19:31.973,0.00000243619,0.0132225,0.0163284,35.9247,0,FALSE,FALSE,1,625.869
15:19:32.293,0.00000242657,0.0132669,0.016432,36.1588,0,FALSE,FALSE,1,635.899
15:19:32.617,0.00000242722,0.013235,0.0164986,36.6605,0,FALSE,FALSE,1,645.93
15:19:32.938,0.00000242157,0.0132465,0.0165856,36.996,0,FALSE,FALSE,1,655.96
15:19:33.257,0.00000242092,0.0132026,0.0166413,37.4993,0,FALSE,FALSE,1,665.99
15:19:33.579,0.00000241246,0.0132715,0.0167671,37.672,0,FALSE,FALSE,1,676.02
15:19:33.899,0.00000242872,0.0132175,0.0168614,38.3817,0,FALSE,FALSE,1,686.05
15:19:34.221,0.00000241931,0.0132268,0.0169384,38.6588,0,FALSE,FALSE,1,696.08
15:19:34.641,0.00000239954,0.0132537,0.0169999,38.7726,0,FALSE,FALSE,1,706.111
15:19:34.959,0.00000240528,0.0132637,0.017119,39.2137,0,FALSE,FALSE,1,716.141
15:19:35.279,0.0000024219,0.0133229,0.0173093,39.673,0,FALSE,FALSE,1,726.171
15:19:35.602,0.0000024099,0.0133084,0.0173603,39.9504,0,FALSE,FALSE,1,736.201
