#Device,LCX200,,,,,,,,,
#Device Name,RS-LCX200-02169.local,,,,,,,,,
#Format,LOG,,,,,,,,,
#Date,2025-03-11,,,,,,,,,
#Version,02.036 001FCD160E,,,,,,,,,
#Serial No.,102169,,,,,,,,,
#Logging Interval[s],0,,,,,,,,,
#Mode,Unlimited,,,,,,,,,
#Start Time,14:37:24,,,,,,,,,
#Stop Time,14:38:31,,,,,,,,,
#Actual Count,200,,,,,,,,,
Timestamp,Ls[H],Q,Z[Ohm],Θd[°],IBias[A],Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz],R[Ohm]
14:37:27.361,-inf,0.0370312,0.0144567,-2.12076,0,FALSE,FALSE,2,4,0.014446797898565
14:37:28.140,-inf,0.0370312,0.0144567,-2.12076,0,FALSE,FALSE,2,14.0302,0.014446797898565
14:37:28.629,0.00000103012,0.0111217,0.0140031,0.637198,0,FALSE,FALSE,2,24.0603,0.0140022340491127
14:37:29.034,0.00000103012,0.0111217,0.0140031,0.637198,0,FALSE,FALSE,2,34.0905,0.0140022340491127
14:37:29.403,0.00000127354,0.0253662,0.0139226,1.45306,0,FALSE,FALSE,2,44.1206,0.0139181229813484
14:37:29.756,0.00000213266,0.0522846,0.0138971,2.99296,0,FALSE,FALSE,2,54.1508,0.0138781437690994
14:37:30.097,0.00000206742,0.0600703,0.0139039,3.43765,0,FALSE,FALSE,2,64.1809,0.0138788818953353
14:37:30.428,0.00000186759,0.0623268,0.013999,3.56645,0,FALSE,FALSE,2,74.2111,0.0139718884840738
14:37:30.757,0.00000186759,0.0623268,0.013999,3.56645,0,FALSE,FALSE,2,84.2412,0.0139718884840738
14:37:31.092,0.00000143208,0.0543363,0.0139708,3.11018,0,FALSE,FALSE,2,94.2714,0.0139502216561878
14:37:31.428,0.00000187227,0.0883132,0.0139476,5.04688,0,FALSE,FALSE,2,104.302,0.0138935258927442
14:37:31.765,0.00000198904,0.102815,0.0139706,5.87025,0,FALSE,FALSE,2,114.332,0.0138973389637139
14:37:32.099,0.00000244661,0.137568,0.0140277,7.83287,0,FALSE,FALSE,2,124.362,0.013896819017305
14:37:32.428,0.00000201412,0.122066,0.0140364,6.95943,0,FALSE,FALSE,2,134.392,0.0139329825568909
14:37:32.754,0.00000201412,0.122066,0.0140364,6.95943,0,FALSE,FALSE,2,144.422,0.0139329825568909
14:37:33.081,0.00000191639,0.132595,0.0141487,7.55305,0,FALSE,FALSE,2,154.452,0.0140259399729016
14:37:33.408,0.00000208232,0.153876,0.01415,8.74784,0,FALSE,FALSE,2,164.482,0.0139853965122499
14:37:33.732,0.00000201021,0.157289,0.0141859,8.93876,0,FALSE,FALSE,2,174.513,0.0140136119571384
14:37:34.055,0.00000201021,0.157289,0.0141859,8.93876,0,FALSE,FALSE,2,184.543,0.0140136119571384
14:37:34.380,0.00000195887,0.161836,0.0142174,9.1928,0,FALSE,FALSE,2,194.573,0.0140347966697526
14:37:34.704,0.00000205673,0.188267,0.0142909,10.6621,0,FALSE,FALSE,2,204.603,0.0140441732746114
14:37:35.028,0.00000199577,0.191902,0.0142811,10.8631,0,FALSE,FALSE,2,214.633,0.0140251868512211
14:37:35.356,0.00000194016,0.19568,0.0142614,11.0717,0,FALSE,FALSE,2,224.663,0.0139959616365005
14:37:35.682,0.00000194696,0.20417,0.0143521,11.5395,0,FALSE,FALSE,2,234.693,0.0140620013830457
14:37:36.008,0.00000227178,0.248273,0.014497,13.9431,0,FALSE,FALSE,2,244.724,0.014069853122486
14:37:36.330,0.00000202894,0.231776,0.0143835,13.0494,0,FALSE,FALSE,2,254.754,0.0140120569217257
14:37:36.652,0.00000195848,0.231962,0.0144196,13.0595,0,FALSE,FALSE,2,264.784,0.0140466505183956
14:37:36.973,0.00000194514,0.239217,0.0144364,13.4533,0,FALSE,FALSE,2,274.814,0.0140402633276137
14:37:37.295,0.00000194514,0.239217,0.0144364,13.4533,0,FALSE,FALSE,2,284.844,0.0140402633276137
14:37:37.617,0.00000193817,0.254057,0.0145834,14.2548,0,FALSE,FALSE,2,294.874,0.0141343812646618
14:37:37.940,0.00000198454,0.268388,0.0146671,15.0235,0,FALSE,FALSE,2,304.905,0.0141657725055524
