#Device,LCX200
#Device Name,RS-LCX200-02169.local
#Format,LOG
#Date,2025-02-28
#Version,02.036 001FCD160E
#Serial No.,102169
#Logging Interval[s],0.0
#Mode,Unlimited
#Start Time,11:05:30
#Stop Time,11:06:39
#Actual Count,0000000200
Timestamp,R[Ohm],X[Ohm],Z[Ohm],Θd[°],Bias,Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz]
11:05:33.589,9.01991E-03,-4.99886E-04,9.03375E-03,-3.17211E+00,nan,FALSE,FALSE,2.00000E+00,4.00000E+00
11:05:34.375,8.76821E-03,5.94265E-05,8.76841E-03,3.88316E-01,nan,FALSE,FALSE,2.00000E+00,1.40302E+01
11:05:34.861,8.71289E-03,3.99036E-04,8.72202E-03,2.62222E+00,nan,FALSE,FALSE,2.00000E+00,2.40603E+01
11:05:35.267,8.72495E-03,6.12630E-04,8.74643E-03,4.01648E+00,nan,FALSE,FALSE,2.00000E+00,3.40905E+01
11:05:35.634,8.68930E-03,9.02111E-04,8.73600E-03,5.92713E+00,nan,FALSE,FALSE,2.00000E+00,4.41206E+01
11:05:36.070,8.67628E-03,1.26948E-03,8.76866E-03,8.32425E+00,nan,FALSE,FALSE,2.00000E+00,5.41508E+01
11:05:36.504,8.66220E-03,1.55842E-03,8.80127E-03,1.01990E+01,nan,FALSE,FALSE,2.00000E+00,6.41809E+01
11:05:36.833,8.67349E-03,1.67076E-03,8.83294E-03,1.09033E+01,nan,FALSE,FALSE,2.00000E+00,7.42111E+01
11:05:37.159,8.71263E-03,1.77248E-03,8.89110E-03,1.14992E+01,nan,FALSE,FALSE,2.00000E+00,8.42412E+01
11:05:37.486,8.67224E-03,2.05920E-03,8.91337E-03,1.33574E+01,nan,FALSE,FALSE,2.00000E+00,9.42714E+01
11:05:37.817,8.71556E-03,2.46342E-03,9.05701E-03,1.57827E+01,nan,FALSE,FALSE,2.00000E+00,1.04302E+02
11:05:38.152,8.68010E-03,2.81025E-03,9.12368E-03,1.79398E+01,nan,FALSE,FALSE,2.00000E+00,1.14332E+02
11:05:38.483,8.67352E-03,3.49096E-03,9.34970E-03,2.19241E+01,nan,FALSE,FALSE,2.00000E+00,1.24362E+02
11:05:38.914,8.74928E-03,3.53522E-03,9.43651E-03,2.20016E+01,nan,FALSE,FALSE,2.00000E+00,1.34392E+02
11:05:39.243,8.75098E-03,3.86896E-03,9.56809E-03,2.38511E+01,nan,FALSE,FALSE,2.00000E+00,1.44422E+02
11:05:39.573,8.75507E-03,4.22418E-03,9.72085E-03,2.57565E+01,nan,FALSE,FALSE,2.00000E+00,1.54452E+02
11:05:39.899,8.82679E-03,5.09104E-03,1.01897E-02,2.99751E+01,nan,FALSE,FALSE,2.00000E+00,1.64482E+02
11:05:40.223,8.88673E-03,5.66464E-03,1.05386E-02,3.25145E+01,nan,FALSE,FALSE,2.00000E+00,1.74513E+02
11:05:40.548,9.27901E-03,6.94086E-03,1.15877E-02,3.67971E+01,nan,FALSE,FALSE,2.00000E+00,1.84543E+02
11:05:40.872,1.17599E-02,1.02150E-02,1.55770E-02,4.09783E+01,nan,FALSE,FALSE,2.00000E+00,1.94573E+02
11:05:41.204,1.84415E-02,1.75702E-03,1.85250E-02,5.44246E+00,nan,FALSE,FALSE,2.00000E+00,2.04603E+02
11:05:41.527,1.15710E-02,1.25542E-04,1.15716E-02,6.21619E-01,nan,FALSE,FALSE,2.00000E+00,2.14633E+02
11:05:41.850,9.95224E-03,1.72443E-03,1.01005E-02,9.83007E+00,nan,FALSE,FALSE,2.00000E+00,2.24663E+02
11:05:42.180,9.55162E-03,2.66920E-03,9.91756E-03,1.56130E+01,nan,FALSE,FALSE,2.00000E+00,2.34693E+02
11:05:42.503,9.37766E-03,3.84508E-03,1.01353E-02,2.22949E+01,nan,FALSE,FALSE,2.00000E+00,2.44724E+02
11:05:42.925,9.24093E-03,3.60291E-03,9.91845E-03,2.13001E+01,nan,FALSE,FALSE,2.00000E+00,2.54754E+02
11:05:43.249,9.05117E-03,3.93765E-03,9.87060E-03,2.35111E+01,nan,FALSE,FALSE,2.00000E+00,2.64784E+02
11:05:43.575,8.88856E-03,4.34242E-03,9.89258E-03,2.60374E+01,nan,FALSE,FALSE,2.00000E+00,2.74814E+02
